df_paper_title,df_title_url
"I take full responsibility, I take some responsibility, I’ll take half of it but no more than that: Princess Diana and the location of blame in the Panorama interview",https://pureportal.coventry.ac.uk/en/publications/i-take-full-responsibility-i-take-some-responsibility-ill-take-ha
On the context dependence of national stereotypes: Some Scottish data,https://pureportal.coventry.ac.uk/en/publications/on-the-context-dependence-of-national-stereotypes-some-scottish-d
Simplified CFD Model for Assessing the Cooling Channel Design in 3D Printed High-Pressure Tools for Aluminium Alloy Casting,https://pureportal.coventry.ac.uk/en/publications/simplified-cfd-model-for-assessing-the-cooling-channel-design-in-
Numerical Study of Natural Convection in Square Tilted Solar Cavity Considering Extended Domain,https://pureportal.coventry.ac.uk/en/publications/numerical-study-of-natural-convection-in-square-tilted-solar-cavi
Robust butt welding seam finding technique for intelligent robotic welding system using active laser vision,https://pureportal.coventry.ac.uk/en/publications/robust-butt-welding-seam-finding-technique-for-intelligent-roboti
Aerodynamics assessment using CFD for a low drag Shell Eco-Marathon car,https://pureportal.coventry.ac.uk/en/publications/aerodynamics-assessment-using-cfd-for-a-low-drag-shell-eco-marath
Welding seam profiling techniques based on active vision sensing for intelligent robotic welding,https://pureportal.coventry.ac.uk/en/publications/welding-seam-profiling-techniques-based-on-active-vision-sensing-
Gaseous fuel for lower emissions during the cold start and warming up of spark ignition engines,https://pureportal.coventry.ac.uk/en/publications/gaseous-fuel-for-lower-emissions-during-the-cold-start-and-warmin
Numerical investigation of diffuser solidity effect on turbulent airflow and performance of the turbocharger compressor,https://pureportal.coventry.ac.uk/en/publications/numerical-investigation-of-diffuser-solidity-effect-on-turbulent--2
CFD Simulation of external distribution of tail-pipe emissions around a stationary vehicle under light tail-wind conditions,https://pureportal.coventry.ac.uk/en/publications/cfd-simulation-of-external-distribution-of-tail-pipe-emissions-ar
Computational analysis of airflow distribution inside Mevlana museum,https://pureportal.coventry.ac.uk/en/publications/computational-analysis-of-airflow-distribution-inside-mevlana-mus
Influence of smoothing length and virtual particles on SPH accuracy,https://pureportal.coventry.ac.uk/en/publications/influence-of-smoothing-length-and-virtual-particles-on-sph-accura
Liquid film thickness inside the high pressure swirl injectors: Real scale measurement and evaluation of analytical equations,https://pureportal.coventry.ac.uk/en/publications/liquid-film-thickness-inside-the-high-pressure-swirl-injectors-re
Mesh optimization for ground vehicle Aerodynamics,https://pureportal.coventry.ac.uk/en/publications/mesh-optimization-for-ground-vehicle-aerodynamics
Air flow and pressure inside a pressure-swirl spray and their effects on spray development,https://pureportal.coventry.ac.uk/en/publications/air-flow-and-pressure-inside-a-pressure-swirl-spray-and-their-eff
Estimation of the breakup length for a pressure-swirl spray from the experimentally measured spray angle,https://pureportal.coventry.ac.uk/en/publications/estimation-of-the-breakup-length-for-a-pressure-swirl-spray-from-
The spray characteristics of a pressure-swirl injector with various exit plane tilts,https://pureportal.coventry.ac.uk/en/publications/the-spray-characteristics-of-a-pressure-swirl-injector-with-vario
Generation of robust and well-atomized swirl spray,https://pureportal.coventry.ac.uk/en/publications/generation-of-robust-and-well-atomized-swirl-spray
Internal and near nozzle flow characteristics in an enlarged model of an outwards opening pintle-type gasoline injector,https://pureportal.coventry.ac.uk/en/publications/internal-and-near-nozzle-flow-characteristics-in-an-enlarged-mode
Internal and near-nozzle flow of a pressure-swirl atomizer under varied fuel temperature,https://pureportal.coventry.ac.uk/en/publications/internal-and-near-nozzle-flow-of-a-pressure-swirl-atomizer-under-
Measurement and analysis of liquid film thickness of pressure swirl-spray for Direct-Injection Gasoline-Engines: 논문 : 직접분사식 가솔린엔진용 고압 스월분무의 액막두께 측정 및 해석,https://pureportal.coventry.ac.uk/en/publications/measurement-and-analysis-of-liquid-film-thickness-of-pressure-swi
The influence of airflow on fuel spray characteristics from a slit injector,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-airflow-on-fuel-spray-characteristics-from-a-sli
The influence of airflow on fuel spray characteristics from a slit injectors,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-airflow-on-fuel-spray-characteristics-from-a-sli-2
The Effects of Split-Injection and EGR on the Combustion Characteristics of a DISI Engine: 직접분사식 가솔린 엔진에서 분할분사 및 배기가스 재순환의 효과,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-split-injection-and-egr-on-the-combustion-characte
"The Brookside Farm Wetland Ecosystem Treatment (WET) System: A Low-Energy Methodology for Sewage Purification, Biomass Production (Yield), Flood Resilience and Biodiversity Enhancement",https://pureportal.coventry.ac.uk/en/publications/the-brookside-farm-wetland-ecosystem-treatment-wet-system-a-low-e-2
Risk Governance and Risk Disclosure Quality: Evidence from Corporate Firms in Nigeria,https://pureportal.coventry.ac.uk/en/publications/risk-governance-and-risk-disclosure-quality-evidence-from-corpora
"Collaborative environments in small and medium-sized enterprises in architecture, engineering and construction",https://pureportal.coventry.ac.uk/en/publications/collaborative-environments-in-small-and-medium-sized-enterprises-
OECD’s Global Principles and EU’s tax crime measures,https://pureportal.coventry.ac.uk/en/publications/oecds-global-principles-and-eus-tax-crime-measures
Developing an Overbooking Fuzzy-Based Mathematical Optimization Model for Multi-Leg Flights,https://pureportal.coventry.ac.uk/en/publications/developing-an-overbooking-fuzzy-based-mathematical-optimization-m
Is Problem Driven Iterative Adaptation (PDIA) a Re-Statement of Organization Development (OD)?,https://pureportal.coventry.ac.uk/en/publications/is-problem-driven-iterative-adaptation-pdia-a-re-statement-of-org
The Fiscal Regime for UK Shale Gas: Analysing the Impacts of Pad Allowance on Shale Gas Investments,https://pureportal.coventry.ac.uk/en/publications/the-fiscal-regime-for-uk-shale-gas-analysing-the-impacts-of-pad-a
Brexit and UK Energy Security: Perspectives from Unconventional Gas Investment and the Effects of Shale Gas on UK Energy Prices,https://pureportal.coventry.ac.uk/en/publications/brexit-and-uk-energy-security-perspectives-from-unconventional-ga
Coalbed Methane Development in Indonesia: Design and Economic Analysis of Upstream Petroleum Fiscal Policy,https://pureportal.coventry.ac.uk/en/publications/coalbed-methane-development-in-indonesia-design-and-economic-anal
Integrating Human Factors (HF) into a Process Safety Management System (PSMS),https://pureportal.coventry.ac.uk/en/publications/integrating-human-factors-hf-into-a-process-safety-management-sys
Oil and Gas Production and the Growth of Ghana’s Economy: An Initial Assessment,https://pureportal.coventry.ac.uk/en/publications/oil-and-gas-production-and-the-growth-of-ghanas-economy-an-initia
Brexit and Article 50 of the Treaty of the European Union: Implications for UK Energy Policy and Security,https://pureportal.coventry.ac.uk/en/publications/brexit-and-article-50-of-the-treaty-of-the-european-union-implica
Evaluating the Short Run Effects of U.S. Crude Oil Inventory Levels on WTI Crude Oil Price from 1993 – 2013,https://pureportal.coventry.ac.uk/en/publications/evaluating-the-short-run-effects-of-us-crude-oil-inventory-levels
Economic Evaluation of Bowland Shale Gas Wells Development in the UK,https://pureportal.coventry.ac.uk/en/publications/economic-evaluation-of-bowland-shale-gas-wells-development-in-the-2
Development of autonomy on placement: perceptions of physiotherapy students and educators in Australia and the United Kingdom,https://pureportal.coventry.ac.uk/en/publications/development-of-autonomy-on-placement-perceptions-of-physiotherapy
Education for Integrated Working – A Qualitative Research Study Exploring and Contextualizing how Practitioners Learn in Practice,https://pureportal.coventry.ac.uk/en/publications/education-for-integrated-working-a-qualitative-research-study-exp
Higher education decolonisation: #Whose voices and their geographical locations?,https://pureportal.coventry.ac.uk/en/publications/higher-education-decolonisation-whose-voices-and-their-geographic
Bottle house: utilising appreciative inquiry to develop a user acceptance model,https://pureportal.coventry.ac.uk/en/publications/bottle-house-utilising-appreciative-inquiry-to-develop-a-user-acc
Developing an Autonomous-Support Culture in Higher Education for Disabled Students,https://pureportal.coventry.ac.uk/en/publications/developing-an-autonomous-support-culture-in-higher-education-for-
Enhancing school safety through university engagement in DRR education,https://pureportal.coventry.ac.uk/en/publications/enhancing-school-safety-through-university-engagement-in-drr-educ
Fast and Slow: Using Spritz for Academic Study?,https://pureportal.coventry.ac.uk/en/publications/fast-and-slow-using-spritz-for-academic-study-technology-knowledg
Students’ engagement and learning experiences using virtual patient simulation in a computer supported collaborative learning environment,https://pureportal.coventry.ac.uk/en/publications/students-engagement-and-learning-experiences-using-virtual-patien
Supporting students with disability during clinical placements: Students experiences and challenges. ,https://pureportal.coventry.ac.uk/en/publications/supporting-students-with-disability-during-clinical-placements-st
Bottle house: A case study of transdisciplinary research for tackling global challenges,https://pureportal.coventry.ac.uk/en/publications/bottle-house-a-case-study-of-transdisciplinary-research-for-tackl
STEM outreach activities: an approach to teachers’ professional development: STEM outreach activities,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev
"Empowerment of physiotherapy students on placement: The interplay between autonomy, risk, and responsibility: The interplay between autonomy, risk, and responsibility",https://pureportal.coventry.ac.uk/en/publications/empowerment-of-physiotherapy-students-on-placement-the-interplay-
myShoes – the future of experiential dementia training?,https://pureportal.coventry.ac.uk/en/publications/myshoes-the-future-of-experiential-dementia-training-2
The discourse of disability in higher education: Insights from a health and social care perspective,https://pureportal.coventry.ac.uk/en/publications/the-discourse-of-disability-in-higher-education-insights-from-a-h-2
The ‘Gift Exchange’: a metaphor for understanding the relationship between educator commitment and student effort on placement,https://pureportal.coventry.ac.uk/en/publications/the-gift-exchange-a-metaphor-for-understanding-the-relationship-b-2
Industry–University Collaborations in Emerging Economies: A legitimacy perspective,https://pureportal.coventry.ac.uk/en/publications/industryuniversity-collaborations-in-emerging-economies-a-legitim
Resource Mobilisation in Entrepreneurial Ventures (1987–2019): An Integrative Review and Opportunities for Future Research,https://pureportal.coventry.ac.uk/en/publications/resource-mobilisation-in-entrepreneurial-ventures-19872019-an-int
"Disruptive Innovation at the Base-of-the-Pyramid: Opportunities, and Challenges for Multinationals in African emerging market",https://pureportal.coventry.ac.uk/en/publications/disruptive-innovation-at-the-base-of-the-pyramid-opportunities-an
Strategic Foresight for Innovation Management. A Review and Research Agenda,https://pureportal.coventry.ac.uk/en/publications/strategic-foresight-for-innovation-management-a-review-and-resear
Managerial Engagement with Scenario Planning: A Conceptual Consumption Planning Approach,https://pureportal.coventry.ac.uk/en/publications/managerial-engagement-with-scenario-planning-a-conceptual-consump
COVID-19: A Syndemic Requiring an Integrated Approach for Marginalized Populations,https://pureportal.coventry.ac.uk/en/publications/covid-19-a-syndemic-requiring-an-integrated-approach-for-marginal
Exploratory Efficacy of Calcium-Vitamin D Milk Fortification and Periodontal Therapy on Maternal Oral Health and Metabolic and Inflammatory Profile,https://pureportal.coventry.ac.uk/en/publications/exploratory-efficacy-of-calcium-vitamin-d-milk-fortification-and-
Factors Influencing Pregnancy and Postpartum Weight Management in Women of African and Caribbean Ancestry Living in High Income Countries: Systematic Review and Evidence Synthesis Using a Behavioral Change Theoretical Model,https://pureportal.coventry.ac.uk/en/publications/factors-influencing-pregnancy-and-postpartum-weight-management-in
An evaluation of the nutritional value and physical properties of blenderised enteral nutrition formula: A systematic review and meta-analysis,https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-the-nutritional-value-and-physical-properties-of
Attitudinal Determinants of diet and lifestyle among African and Caribbean women living in the UK: study design and rationale,https://pureportal.coventry.ac.uk/en/publications/attitudinal-determinants-of-diet-and-lifestyle-among-african-and-
Correction to: Calcium and vitamin D supplementation and/or periodontal therapy in the treatment of periodontitis among Brazilian pregnant women: protocol of a feasibility randomised controlled trial (the IMPROVE trial),https://pureportal.coventry.ac.uk/en/publications/correction-to-calcium-and-vitamin-d-supplementation-andor-periodo
Recruitment of low-income pregnant women into a dietary and dental care intervention: lessons from a feasibility trial,https://pureportal.coventry.ac.uk/en/publications/recruitment-of-low-income-pregnant-women-into-a-dietary-and-denta
The effect of self-reported lactose intolerance and dairy consumption on bone mineral density among american hip arthroplasty patients: A cross-sectional study,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-self-reported-lactose-intolerance-and-dairy-consump
The Microbial Quality and Safety of Blenderised Enteral Nutrition Formula: A Systematic Review,https://pureportal.coventry.ac.uk/en/publications/the-microbial-quality-and-safety-of-blenderised-enteral-nutrition
The Use of Dietary Supplements Among African and Caribbean Women Living in the UK: A Cross-Sectional Study,https://pureportal.coventry.ac.uk/en/publications/the-use-of-dietary-supplements-among-african-and-caribbean-women-
Vitamin D and calcium milk fortification in pregnant women with periodontitis: A feasibility trial,https://pureportal.coventry.ac.uk/en/publications/vitamin-d-and-calcium-milk-fortification-in-pregnant-women-with-p
Exploring infant & young child feeding (IYCF) practices & perceptions in the London Borough of Tower Hamlets,https://pureportal.coventry.ac.uk/en/publications/exploring-infant-amp-young-child-feeding-iycf-practices-amp-perce
"Exploring Infant and Young Child Feeding Practices in the Royal Borough of Greenwich, London, to Improve Health and Nutrition Outcomes in Children Under 2 Years of Age",https://pureportal.coventry.ac.uk/en/publications/exploring-infant-and-young-child-feeding-practices-in-the-royal-b
High protein diet promotes body weight loss among Brazilian postpartum women,https://pureportal.coventry.ac.uk/en/publications/high-protein-diet-promotes-body-weight-loss-among-brazilian-postp
Impact of lipid-based nutrient supplements on prevention and treatment of childhood moderate undernutrition,https://pureportal.coventry.ac.uk/en/publications/impact-of-lipid-based-nutrient-supplements-on-prevention-and-trea
Longitudinal association of 25-hydroxyvitamin D with adipokines and markers of glucose metabolism among Brazilian pregnant women,https://pureportal.coventry.ac.uk/en/publications/longitudinal-association-of-25-hydroxyvitamin-d-with-adipokines-a
The effects of a low GI diet on cardiometabolic and inflammatory parameters in patients with type 2 and gestational diabetes: A systematic review and meta-analysis of randomised controlled trials,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-a-low-gi-diet-on-cardiometabolic-and-inflammatory-
"Changes in plasma concentrations of 25-hydroxyvitamin D and 1,25-dihydroxyvitamin D during pregnancy: a Brazilian cohort",https://pureportal.coventry.ac.uk/en/publications/changes-in-plasma-concentrations-of-25-hydroxyvitamin-d-and-125-d
Serum fatty acids are positively associated with changes in systemic blood pressure throughout pregnancy,https://pureportal.coventry.ac.uk/en/publications/serum-fatty-acids-are-positively-associated-with-changes-in-syste
Association between early pregnancy vitamin D status and changes in serum lipid profiles throughout pregnancy,https://pureportal.coventry.ac.uk/en/publications/association-between-early-pregnancy-vitamin-d-status-and-changes-
Evaluation of a type 2 diabetes prevention program using a commercial weight management provider for nondiabetic hyperglycemic patients referred by primary care in the UK,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-a-type-2-diabetes-prevention-program-using-a-commer
Omega-3 supplementation from pregnancy to postpartum to prevent depressive symptoms: A randomized placebo-controlled trial,https://pureportal.coventry.ac.uk/en/publications/omega-3-supplementation-from-pregnancy-to-postpartum-to-prevent-d
"Calcium, Vitamin D, casein and whey protein intakes and periodontitis among Danish adults",https://pureportal.coventry.ac.uk/en/publications/calcium-vitamin-d-casein-and-whey-protein-intakes-and-periodontit
"ESPGHAN 49th ANNUAL MEETING of the European Society for Paediatric Gastroenterology, Hepatology and Nutrition",https://pureportal.coventry.ac.uk/en/publications/espghan-49th-annual-meeting-of-the-european-society-for-paediatri
Interventions for improving pregnancy outcomes in antenatally diagnosed or suspected morbidly adherent placenta,https://pureportal.coventry.ac.uk/en/publications/interventions-for-improving-pregnancy-outcomes-in-antenatally-dia
The effect of alcohol consumption on periodontitis in older Danes,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-alcohol-consumption-on-periodontitis-in-older-danes
Associations between initial change in physical activity level and subsequent change in regional body fat distributions,https://pureportal.coventry.ac.uk/en/publications/associations-between-initial-change-in-physical-activity-level-an
C-reactive protein and later preeclampsia: Systematic review and meta-analysis taking into account the weight status,https://pureportal.coventry.ac.uk/en/publications/c-reactive-protein-and-later-preeclampsia-systematic-review-and-m
"Diet or exercise, or both, for weight reduction in women after childbirth",https://pureportal.coventry.ac.uk/en/publications/diet-or-exercise-or-both-for-weight-reduction-in-women-after-chil
"Intakes of calcium, vitamin D, and dairy servings and dental plaque in older Danish adults",https://pureportal.coventry.ac.uk/en/publications/intakes-of-calcium-vitamin-d-and-dairy-servings-and-dental-plaque
990 C-Reactive Protein And Later Pre-eclampsia: Systematic Review And Meta-Analysis Taking Into Account The Nutritional Status,https://pureportal.coventry.ac.uk/en/publications/990-c-reactive-protein-and-later-pre-eclampsia-systematic-review-
Influence of parental overweight on the association of birth weight and fat distribution later in childhood,https://pureportal.coventry.ac.uk/en/publications/influence-of-parental-overweight-on-the-association-of-birth-weig
Intake of dairy calcium and tooth loss among adult Danish men and women,https://pureportal.coventry.ac.uk/en/publications/intake-of-dairy-calcium-and-tooth-loss-among-adult-danish-men-and
Intake of dairy products in relation to periodontitis in older danish adults,https://pureportal.coventry.ac.uk/en/publications/intake-of-dairy-products-in-relation-to-periodontitis-in-older-da
"Short-Term Pre-Pregnancy Health Education May Improve Maternal Nutrition Behavior, but not Nutrition Self-Efficacy",https://pureportal.coventry.ac.uk/en/publications/short-term-pre-pregnancy-health-education-may-improve-maternal-nu
Recommended aerobic fitness level for metabolic health in children and adolescents: A study of diagnostic accuracy,https://pureportal.coventry.ac.uk/en/publications/recommended-aerobic-fitness-level-for-metabolic-health-in-childre
"Systematic review of clinical trials on dietary interventions to prevent excessive weight gain during pregnancy among normal weight, overweight and obese women",https://pureportal.coventry.ac.uk/en/publications/systematic-review-of-clinical-trials-on-dietary-interventions-to-
Linking definition of childhood and adolescent obesity to current health outcomes,https://pureportal.coventry.ac.uk/en/publications/linking-definition-of-childhood-and-adolescent-obesity-to-current
Low calcium intake is related to increased risk of tooth loss in men,https://pureportal.coventry.ac.uk/en/publications/low-calcium-intake-is-related-to-increased-risk-of-tooth-loss-in-
"Relationships between prenatal smoking cessation, gestational weight gain and maternal lifestyle characteristics",https://pureportal.coventry.ac.uk/en/publications/relationships-between-prenatal-smoking-cessation-gestational-weig
Accuracy and correlates of maternal recall of birthweight and gestational age,https://pureportal.coventry.ac.uk/en/publications/accuracy-and-correlates-of-maternal-recall-of-birthweight-and-ges
Assessment of weight changes during and after pregnancy: Practical approaches,https://pureportal.coventry.ac.uk/en/publications/assessment-of-weight-changes-during-and-after-pregnancy-practical
Can maternal leptin level at early gestation be used as a predictor of postpartum weight retention?,https://pureportal.coventry.ac.uk/en/publications/can-maternal-leptin-level-at-early-gestation-be-used-as-a-predict
Does excess pregnancy weight gain constitute a major risk for increasing long-term BMI?,https://pureportal.coventry.ac.uk/en/publications/does-excess-pregnancy-weight-gain-constitute-a-major-risk-for-inc
Excess pregnancy weight gain constitutes a major risk for future long-term weight retention-are recommendations adequate?,https://pureportal.coventry.ac.uk/en/publications/excess-pregnancy-weight-gain-constitutes-a-major-risk-for-future-
Gestational weight gain differentials in the presence of intimate partner violence,https://pureportal.coventry.ac.uk/en/publications/gestational-weight-gain-differentials-in-the-presence-of-intimate
Scaling Small; Or How to Envision New Relationalities for Knowledge Production,https://pureportal.coventry.ac.uk/en/publications/scaling-small-or-how-to-envision-new-relationalities-for-knowledg
Post It,https://pureportal.coventry.ac.uk/en/publications/post-it
Unruly Gestures: Seven Cine-Paragraphs on Reading/Writing Practices in our Post-Digital Condition,https://pureportal.coventry.ac.uk/en/publications/unruly-gestures-seven-cine-paragraphs-on-readingwriting-practices-2
Collectivity and collaboration: imagining new forms of communality to create resilience in scholar-led publishing,https://pureportal.coventry.ac.uk/en/publications/collectivity-and-collaboration-imagining-new-forms-of-communality
Disrupting the Journal of Media Practice,https://pureportal.coventry.ac.uk/en/publications/disrupting-the-journal-of-media-practice
Performative Publications,https://pureportal.coventry.ac.uk/en/publications/performative-publications
Performative Publications (designed postprint platform version),https://pureportal.coventry.ac.uk/en/publications/performative-publications-designed-postprint-platform-version
The Disrupted Journal of Media Practice,https://pureportal.coventry.ac.uk/en/publications/the-disrupted-journal-of-media-practice
The Surge in New University Presses and Academic-Led Publishing: An Overview of a Changing Publishing Ecology in the UK,https://pureportal.coventry.ac.uk/en/publications/the-surge-in-new-university-presses-and-academic-led-publishing-a
Disrupting the Humanities: Towards Posthumanities Special Issue,https://pureportal.coventry.ac.uk/en/publications/disrupting-the-humanities-towards-posthumanities-special-issue
"'Posthumanities: The Dark Side of ""The Dark Side of the Digital""'",https://pureportal.coventry.ac.uk/en/publications/posthumanities-the-dark-side-of-the-dark-side-of-the-digital-2
Practise what you preach: Engaging in humanities research through critical praxis,https://pureportal.coventry.ac.uk/en/publications/practise-what-you-preach-engaging-in-humanities-research-through--2
Reviving the Undead Book,https://pureportal.coventry.ac.uk/en/publications/reviving-the-undead-book
The political nature of the book: on artists' books and radical open access,https://pureportal.coventry.ac.uk/en/publications/the-political-nature-of-the-book-on-artists-books-and-radical-ope-2
CSR Implication and Disclosure in Higher Education: Uncovered Points. Results from a Systematic Literature Review and Agenda for Future Research,https://pureportal.coventry.ac.uk/en/publications/csr-implication-and-disclosure-in-higher-education-uncovered-poin
"Integrated reporting in higher education: Insights from Scotland, Northern Ireland and Wales",https://pureportal.coventry.ac.uk/en/publications/integrated-reporting-in-higher-education-insights-from-scotland-n
Integrated Reporting in UK Higher Education Institutions,https://pureportal.coventry.ac.uk/en/publications/integrated-reporting-in-uk-higher-education-institutions
Corporate Political Strategies in Weak Institutional Environments: A Break from Conventions,https://pureportal.coventry.ac.uk/en/publications/corporate-political-strategies-in-weak-institutional-environments
"Market in Financial Instruments Directive (MiFID), stock price informativeness and liquidity",https://pureportal.coventry.ac.uk/en/publications/market-in-financial-instruments-directive-mifid-stock-price-infor
The effect of government involvement and payment method on merger and acquisition performance: the case of China,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-government-involvement-and-payment-method-on-merger
"The impact of regulations on compliance costs, risk-taking, and reporting quality of the EU banks",https://pureportal.coventry.ac.uk/en/publications/the-impact-of-regulations-on-compliance-costs-risk-taking-and-rep
Evaluation of merger premium and firm performance in Europe,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-merger-premium-and-firm-performance-in-europe
